State,Candidate_1,Candidate_1_Party,Candidate_1_Votes,Candidate_2,Candidate_2_Party,Candidate_2_Votes,Winning_Party,Total_Votes
Alabama,"BIDEN, JOSEPH R. JR",Democrat,849624,"TRUMP, DONALD J.",Republican,1441170,Republican,2323282
Alaska,"BIDEN, JOSEPH R. JR",Democrat,153778,"TRUMP, DONALD J.",Republican,189951,Republican,359530
Arizona,"BIDEN, JOSEPH R. JR",Democrat,1672143,"TRUMP, DONALD J.",Republican,1661686,Democrat,3387326
Arkansas,"BIDEN, JOSEPH R. JR",Democrat,423932,"TRUMP, DONALD J.",Republican,760647,Republican,1219069
California,"BIDEN, JOSEPH R. JR",Democrat,11110250,"TRUMP, DONALD J.",Republican,6006429,Democrat,17500881
Colorado,"BIDEN, JOSEPH R. JR",Democrat,1804352,"TRUMP, DONALD J.",Republican,1364607,Democrat,3279980
Connecticut,"BIDEN, JOSEPH R. JR",Democrat,1080831,"TRUMP, DONALD J.",Republican,714717,Democrat,1823857
Delaware,"BIDEN, JOSEPH R. JR",Democrat,296268,"TRUMP, DONALD J.",Republican,200603,Democrat,504346
Florida,"BIDEN, JOSEPH R. JR",Democrat,5297045,"TRUMP, DONALD J.",Republican,5668731,Republican,11067456
Georgia,"BIDEN, JOSEPH R. JR",Democrat,2473633,"TRUMP, DONALD J.",Republican,2461854,Democrat,4999960
Hawaii,"BIDEN, JOSEPH R. JR",Democrat,366130,"TRUMP, DONALD J.",Republican,196864,Democrat,579784
Idaho,"BIDEN, JOSEPH R. JR",Democrat,287021,"TRUMP, DONALD J.",Republican,554119,Republican,868014
Illinois,"BIDEN, JOSEPH R. JR",Democrat,3471915,"TRUMP, DONALD J.",Republican,2446891,Democrat,6033743
Indiana,"BIDEN, JOSEPH R. JR",Democrat,1242416,"TRUMP, DONALD J.",Republican,1729519,Republican,3033118
Iowa,"BIDEN, JOSEPH R. JR",Democrat,759061,"TRUMP, DONALD J.",Republican,897672,Republican,1700130
Kansas,"BIDEN, JOSEPH R. JR",Democrat,570323,"TRUMP, DONALD J.",Republican,771406,Republican,1372303
Kentucky,"BIDEN, JOSEPH R. JR",Democrat,772474,"TRUMP, DONALD J.",Republican,1326646,Republican,2136768
Louisiana,"BIDEN, JOSEPH R. JR",Democrat,856034,"TRUMP, DONALD J.",Republican,1255776,Republican,2148062
Maine,"BIDEN, JOSEPH R. JR",Democrat,435072,"TRUMP, DONALD J.",Republican,360737,Democrat,828305
Maryland,"BIDEN, JOSEPH R. JR",Democrat,1985023,"TRUMP, DONALD J.",Republican,976414,Democrat,3037030
Massachusetts,"BIDEN, JOSEPH R. JR",Democrat,2382202,"TRUMP, DONALD J.",Republican,1167202,Democrat,3658005
Michigan,"BIDEN, JOSEPH R. JR",Democrat,2804040,"TRUMP, DONALD J.",Republican,2649852,Democrat,5539302
Minnesota,"BIDEN, JOSEPH R. JR",Democrat,1717077,"TRUMP, DONALD J.",Republican,1484065,Democrat,3277171
Mississippi,"BIDEN, JOSEPH R. JR",Democrat,539398,"TRUMP, DONALD J.",Republican,756764,Republican,1313759
Missouri,"BIDEN, JOSEPH R. JR",Democrat,1253014,"TRUMP, DONALD J.",Republican,1718736,Republican,3025962
Montana,"BIDEN, JOSEPH R. JR",Democrat,244786,"TRUMP, DONALD J.",Republican,343602,Republican,603674
Nebraska,"BIDEN, JOSEPH R. JR",Democrat,374583,"TRUMP, DONALD J.",Republican,556846,Republican,956383
Nevada,"BIDEN, JOSEPH R. JR",Democrat,703486,"TRUMP, DONALD J.",Republican,669890,Democrat,1405376
New Hampshire,"BIDEN, JOSEPH R. JR",Democrat,424921,"TRUMP, DONALD J.",Republican,365654,Democrat,806182
New Jersey,"BIDEN, JOSEPH R. JR",Democrat,2608335,"TRUMP, DONALD J.",Republican,1883274,Democrat,4549353
New Mexico,"BIDEN, JOSEPH R. JR",Democrat,501614,"TRUMP, DONALD J.",Republican,401894,Democrat,923965
New York,"BIDEN, JOSEPH R. JR",Democrat,5230985,"TRUMP, DONALD J.",Republican,3244798,Democrat,8661735
North Carolina,"BIDEN, JOSEPH R. JR",Democrat,2684292,"TRUMP, DONALD J.",Republican,2758773,Republican,5524802
North Dakota,"BIDEN, JOSEPH R. JR",Democrat,114902,"TRUMP, DONALD J.",Republican,235595,Republican,361819
Ohio,"BIDEN, JOSEPH R. JR",Democrat,2679165,"TRUMP, DONALD J.",Republican,3154834,Republican,5922202
Oklahoma,"BIDEN, JOSEPH R. JR",Democrat,503890,"TRUMP, DONALD J.",Republican,1020280,Republican,1560699
Oregon,"BIDEN, JOSEPH R. JR",Democrat,1340383,"TRUMP, DONALD J.",Republican,958448,Democrat,2374321
Pennsylvania,"BIDEN, JOSEPH R. JR",Democrat,3458229,"TRUMP, DONALD J.",Republican,3377674,Democrat,6915283
Rhode Island,"BIDEN, JOSEPH R. JR",Democrat,307486,"TRUMP, DONALD J.",Republican,199922,Democrat,516990
South Carolina,"BIDEN, JOSEPH R. JR",Democrat,1091541,"TRUMP, DONALD J.",Republican,1385103,Republican,2514096
South Dakota,"BIDEN, JOSEPH R. JR",Democrat,150471,"TRUMP, DONALD J.",Republican,261043,Republican,422609
Tennessee,"BIDEN, JOSEPH R. JR",Democrat,1143711,"TRUMP, DONALD J.",Republican,1852475,Republican,3053851
Texas,"BIDEN, JOSEPH R. JR",Democrat,5259126,"TRUMP, DONALD J.",Republican,5890347,Republican,11315056
Utah,"BIDEN, JOSEPH R. JR",Democrat,560282,"TRUMP, DONALD J.",Republican,865140,Republican,1488289
Vermont,"BIDEN, JOSEPH R. JR",Democrat,242820,"TRUMP, DONALD J.",Republican,112704,Democrat,370968
Virginia,"BIDEN, JOSEPH R. JR",Democrat,2413568,"TRUMP, DONALD J.",Republican,1962430,Democrat,4460524
Washington,"BIDEN, JOSEPH R. JR",Democrat,2369612,"TRUMP, DONALD J.",Republican,1584651,Democrat,4087631
West Virginia,"BIDEN, JOSEPH R. JR",Democrat,235984,"TRUMP, DONALD J.",Republican,545382,Republican,794652
Wisconsin,"BIDEN, JOSEPH R. JR",Democrat,1630866,"TRUMP, DONALD J.",Republican,1610184,Democrat,3298041
Wyoming,"BIDEN, JOSEPH R. JR",Democrat,73491,"TRUMP, DONALD J.",Republican,193559,Republican,278503
